x1,x2
-0.588705,1.01967
-0.832555,-1.44203
0.581066,0.487572
-1.91635,0.697493
0.168359,-0.95481
0.24321,1.37931
-0.485615,-0.17675
1.8039,-1.51365
1.0438,0.247386
-1.04667,1.10941
-0.184822,-0.617349
1.09265,1.46768
-0.859818,0.100498
0.509291,-1.18067
-0.0208899,0.358665
-2.19965,-1.44673
1.00511,-0.504783
1.42338,0.714849
-0.587057,0.386114
-0.112034,-1.92355
0.363537,0.842774
-1.33315,-0.155823
0.264966,-0.355912
-0.624036,2.08442
-0.700704,-0.742703
1.422,-0.337021
0.581169,0.045172
-0.986113,1.43779
-0.350588,-0.733193
0.878851,0.861971
-0.242757,0.067576
0.719402,-2.79289
0.111427,1.14557
-1.48234,-0.673805
0.594576,-0.424977
1.88615,0.60477
-0.698872,0.634192
-0.290275,-1.34006
0.256639,0.407186
-2.25637,0.0875576
0.487886,-0.926228
-0.202035,1.47916
-0.485421,-0.37623
1.65284,-0.675261
0.718589,0.433671
-1.10166,0.607873
0.00600876,-0.30981
0.800909,2.34074
-1.07807,-0.211727
1.02474,-1.17422
-0.242717,0.628652
-1.17821,-1.46075
0.881122,-0.137805
1.29803,0.203008
-0.253228,0.313954
-0.757739,-1.96259
0.654438,0.749903
-1.40384,0.275705
0.17823,-0.520897
0.0330317,1.70311
-0.688008,-0.379627
1.03089,-0.622144
0.164291,0.0671203
-2.46218,1.90833
-0.157548,-1.15346
0.767352,1.45678
-0.744181,-0.0288776
1.07141,-1.69991
-0.202525,0.934958
-1.02624,-0.931263
0.475442,-0.152445
1.87464,1.33991
-0.964788,0.43855
0.146082,-1.50186
0.156997,0.609501
-1.74109,-0.484667
0.608638,-0.596948
-0.548719,1.14755
-0.189693,-0.276579
2.53894,-0.197342
1.11132,0.0287414
-0.822766,1.34361
-0.328646,-0.604824
1.42441,1.25939
-0.858,0.287391
0.264332,-1.30139
0.0627957,0.419249
-1.99016,-0.783204
0.788816,-0.627869
1.39787,0.36972
-0.399554,0.402146
-0.451378,-1.66305
0.460567,0.653253
-1.21252,0.110032
0.0914041,-0.197682
-0.229972,2.73019
-0.934167,-0.649621
1.4573,-0.685295
0.632036,0.338159
-1.65912,1.03078
-0.0300789,-0.930309
0.504944,1.25914
-0.458141,-0.065596
1.36848,-1.74227
-0.322054,0.98253
-0.985494,-1.10021
0.585905,-0.122955
1.75477,0.18214
-0.48467,0.668907
-0.507687,-1.13633
0.196363,0.202814
-2.33849,0.586263
0.297904,-1.04401
0.109534,1.53784
-0.592898,-0.288227
1.53475,-1.03809
0.829594,0.289858
-0.984795,0.848276
-0.0711646,-0.375165
1.05847,1.77978
-0.982346,0.0127008
0.691865,-1.23494
-0.0858982,0.526898
-1.30396,-1.06573
0.722164,-0.27347
1.0032,0.64139
-0.111187,0.0576522
0.150639,-3.32681
0.350256,1.11716
-1.61594,-0.360987
0.508701,-0.553352
-0.777645,1.86885
-0.585058,-0.765019
1.38155,-0.179613
0.499789,0.0914613
-1.50851,1.77435
-0.358194,-1.00428
0.967612,1.16841
-0.627961,0.106546
0.632975,-1.70472
-0.00555335,0.859084
-1.1034,-0.646595
0.302067,-0.171804
2.36934,1.04025
-0.90124,0.661937
-0.173731,-1.57456
0.308124,0.623542
-1.90995,-0.123635
0.505706,-0.758168
-0.316281,1.29707
-0.313683,-0.299801
2.07033,-0.605261
0.809927,0.611145
-1.33845,0.567119
0.0704369,-0.570613
0.388811,1.68911
-0.770633,-0.236151
0.895895,-0.834354
-0.10704,0.209742
-1.52653,-2.35397
1.14287,-0.0591546
1.61714,0.0837024
-0.39384,0.60732
-0.894066,-1.7519
0.685885,0.638769
-1.30401,0.399597
0.10591,-0.460102
0.273979,2.21951
-0.957969,-0.405903
1.18535,-0.894427
0.582076,0.17017
-1.28301,1.22623
-0.197263,-0.80898
0.694401,1.04106
-0.295757,0.0191449
1.08157,-2.18876
-0.119778,1.08558
-1.24931,-0.917586
0.610349,-0.267972
1.62085,0.921882
-0.763823,0.447601
-0.00844717,-1.30675
0.136703,0.368167
-2.05764,-0.349118
0.630723,-0.761611
-0.478068,1.34038
-0.351226,-0.413122
1.66603,-0.304883
0.772511,0.100433
-0.727385,0.951125
-0.0589881,-0.141761
2.01825,2.1954
-1.12972,0.252369
0.489841,-1.56238
0.0333737,0.73705
-1.77099,-0.918285
0.800553,-0.511829
1.28911,0.488163
-0.379683,0.310316
-0.366965,-2.25096
0.514825,0.918937
-1.50077,-0.0194035
0.317837,-0.534433
-0.334768,1.76483
-0.64093,-0.55208
1.1943,-0.417286
0.267421,0.180881
-2.2564,1.09691
0.0785182,-1.10238
0.429966,1.50682
-0.660687,-0.165635
1.3139,-1.35707
-0.366451,0.820208
-0.775006,-1.06961
0.411533,-0.042716
2.07579,0.435617
-0.668375,0.746177
-0.447987,-1.36673
0.345144,0.439417
-1.69597,0.242827
0.294994,-0.735606
-0.0391267,1.21015
-0.168709,-0.104815
2.36569,-1.26572
1.02374,0.481413
-1.31488,0.914372
-0.0595732,-0.707246
0.814153,1.76079
-0.920537,-0.0835355
0.777556,-1.10286
-0.118748,0.437514
-1.54729,-1.55732
0.993361,-0.262732
1.14951,0.914968
-0.549788,0.216362
0.259783,-1.73442
0.163098,0.802983
-1.17369,-0.393134
0.200434,-0.177213
-1.1373,2.09304
-0.563581,-0.920349
1.53293,-0.0396455
0.651833,0.00561823
-0.934315,1.58654
-0.429588,-0.759103
0.983132,0.839491
-0.349436,0.123784
0.374248,-2.02047
0.161188,0.962582
-1.31893,-0.492967
0.405351,-0.334219
1.62601,0.400205
-0.530015,0.55217
-0.329801,-1.13719
0.0522199,0.0714205
-3.51175,0.379814
0.474309,-1.07402
-0.110828,1.65673
-0.62727,-0.420351
1.8234,-0.896151
0.859762,0.441108
-1.17365,0.75751
-0.0253859,-0.511819
0.90894,2.15812
-1.06114,-0.13331
0.918839,-1.21226
-0.189034,0.612163
-1.24027,-1.33752
0.840825,-0.191641
1.2776,0.110389
-0.202409,0.289733
-1.10543,-2.36395
0.793856,0.792148
-1.53388,0.412775
0.18021,-0.675463
0.169431,1.91286
-0.82932,-0.385631
1.09573,-0.768998
0.416708,0.137584
-1.61675,1.44191
-0.206902,-0.996603
0.766497,1.23969
-0.578679,0.0174618
0.823374,-1.53099
-0.116439,0.800936
-0.963786,-0.760377
0.226536,-0.0902799
2.42126,1.48986
-1.00961,0.545782
0.0454787,-1.62315
0.229526,0.69018
-1.93341,-0.397046
0.624481,-0.703248
-0.503518,1.27142
-0.296095,-0.373645
2.22303,-0.328073
1.02968,0.170143
-0.944709,1.15082
-0.214903,-0.571216
1.15885,1.35122
-0.821686,0.154031
0.416445,-1.1837
0.0032664,0.303173
-2.1413,-1.20571
0.942704,-0.557897
1.43371,0.600206
-0.53327,0.406007
-0.237175,-1.85557
0.407322,0.789715
-1.30882,-0.0620896
0.215146,-0.334919
-0.46123,2.04397
-0.728913,-0.673
1.36243,-0.423932
0.441775,0.32155
-1.5523,0.689524
0.0824543,-0.778049
0.289478,1.16531
-0.159462,-0.0458737
2.19053,-2.11172
-0.509789,1.04294
-0.916985,-1.36202
0.739515,-0.0510715
2.00092,0.0690103
-0.504884,0.808759
